Value,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,QA60,NUVEM_SOMBRA,DIFERENCA_DIAS,Parameter,Dominio,Classe
"17,2",116,245,288,236,235,210,224,210,206,157,165,123,0,SHADOW,0,CHL,Europa,5
"171,520004",513,526,903,433,999,701,731,596,462,362,157,123,0,SHADOW,0,CHL,ANA,6
"1,8",222,236,318,235,207,147,152,141,136,118,142,124,0,SHADOW,0,CHL,Estados_Unidos,2
"1,8",222,236,318,235,207,147,152,141,136,118,142,124,0,SHADOW,0,CHL,Estados_Unidos,2
3,162,203,266,207,174,105,102,103,94,67,139,124,0,SHADOW,0,CHL,Estados_Unidos,2
3,162,203,266,207,174,105,102,103,94,67,139,124,0,SHADOW,0,CHL,Estados_Unidos,2
3,363,239,219,134,122,110,121,84,94,277,125,124,0,SHADOW,0,CHL,Estados_Unidos,2
6,21,52,217,192,153,24,50,73,118,248,199,124,0,SHADOW,0,CHL,Estados_Unidos,4
"20,85",369,388,561,321,318,191,170,164,159,123,140,124,0,CIRRUS,0,CHL,Estados_Unidos,5
"21,83",369,388,561,321,318,191,170,164,159,123,140,124,0,CIRRUS,0,CHL,Estados_Unidos,5
"28,34",152,128,136,116,129,140,164,141,150,656,177,124,0,SHADOW,0,CHL,ANA,5
"31,43",340,349,416,286,340,333,343,301,310,273,141,124,0,SHADOW,0,CHL,Estados_Unidos,5
"0,51",422,262,196,126,133,121,136,169,131,296,146,125,0,SHADOW,0,CHL,Europa,1
"1,07",167,230,379,177,179,160,171,166,175,271,156,125,0,SHADOW,0,CHL,PMQs,1
"1,8",1,1,37,25,116,444,537,592,614,705,254,125,0,SHADOW,0,CHL,Europa,2
"2,14",167,230,379,177,179,160,171,166,175,271,156,125,0,SHADOW,0,CHL,PMQs,2
"2,14",167,230,379,177,179,160,171,166,175,271,156,125,0,SHADOW,0,CHL,PMQs,2
"5,29",,6,139,55,32,2,8,1,3,55,105,125,0,NADA,0,CHL,Estados_Unidos,4
"10,7",172,282,400,309,303,270,302,310,317,1027,232,125,0,SHADOW,0,CHL,Estados_Unidos,4
"12,6",168,165,239,150,152,140,152,155,155,164,160,125,0,SHADOW,0,CHL,Europa,5
13,144,224,336,219,230,178,212,197,225,774,213,125,0,SHADOW,0,CHL,Estados_Unidos,5
"15,5",155,130,143,139,175,173,187,209,209,281,155,125,0,SHADOW,0,CHL,Estados_Unidos,5
"17,5",551,504,623,449,490,306,306,264,236,225,167,125,0,CIRRUS,0,CHL,Estados_Unidos,5
"18,3",295,294,369,267,270,198,201,191,171,149,144,125,0,SHADOW,0,CHL,Estados_Unidos,5
36,366,330,449,334,405,251,280,216,211,327,172,125,0,SHADOW,0,CHL,Estados_Unidos,6
"4,71",303,292,284,213,279,200,199,206,167,155,149,126,0,SHADOW,0,CHL,Estados_Unidos,3
"6,2",110,40,78,45,87,117,89,104,95,1601,228,126,0,SHADOW,0,CHL,Europa,4
"9,69",153,298,629,320,277,125,127,120,103,26,130,126,0,CIRRUS,0,CHL,Estados_Unidos,4
"16,4",515,527,635,466,561,518,515,448,456,375,195,126,0,SHADOW,0,CHL,Estados_Unidos,5
"16,4",515,527,635,466,561,518,515,448,456,375,195,126,0,SHADOW,0,CHL,Estados_Unidos,5
"32,8",576,558,734,455,540,330,327,287,257,243,143,126,0,CIRRUS,0,CHL,Estados_Unidos,6
"34,709999",89,115,242,189,293,99,122,101,87,52,141,126,0,SHADOW,0,CHL,ANA,6
"45,1",327,417,573,330,406,244,250,205,199,158,136,126,0,CIRRUS,0,CHL,Estados_Unidos,6
"0,79",670,730,771,540,523,476,464,397,389,466,183,127,0,CIRRUS,0,CHL,Campo_Geo,1
"2,14",316,355,591,360,336,151,165,119,125,154,127,127,0,CIRRUS,0,CHL,PMQs,2
"2,14",316,355,591,360,336,151,165,119,125,154,127,127,0,CIRRUS,0,CHL,PMQs,2
"3,2",316,355,591,360,336,151,165,119,125,154,127,127,0,CIRRUS,0,CHL,PMQs,3
"5,87",302,359,460,329,332,399,389,420,386,965,245,127,0,SHADOW,0,CHL,Estados_Unidos,4
"19,8",161,238,273,177,181,145,175,150,153,131,156,127,0,SHADOW,0,CHL,Europa,5
23,132,173,213,192,206,178,189,173,197,193,139,127,0,SHADOW,0,CHL,Europa,5
"3,9",594,726,1024,1021,1267,783,778,641,466,111,133,128,0,SHADOW,0,CHL,GemStat,3
"27,6",99,161,179,140,164,94,133,111,115,278,167,128,0,SHADOW,0,CHL,ANA,5
"70,8",86,195,685,212,368,97,108,72,52,39,128,128,0,CIRRUS,0,CHL,Estados_Unidos,6
"91,6",380,473,644,406,629,350,353,285,263,237,152,128,0,CIRRUS,0,CHL,Estados_Unidos,6
1,241,224,200,149,146,152,181,169,164,144,138,129,0,SHADOW,0,CHL,Europa,1
"1,78",149,198,207,187,177,150,164,173,144,131,169,129,0,SHADOW,0,CHL,Estados_Unidos,2
"3,56",149,198,207,187,177,150,164,173,144,131,169,129,0,SHADOW,0,CHL,Estados_Unidos,3
"6,39",366,293,300,218,218,260,256,240,239,256,156,129,0,SHADOW,0,CHL,Estados_Unidos,4
"6,56",366,293,300,218,218,260,256,240,239,256,156,129,0,SHADOW,0,CHL,Estados_Unidos,4
"9,34",461,437,378,271,279,258,268,221,222,263,135,129,0,SHADOW,0,CHL,Estados_Unidos,4
"39,6",349,365,553,328,458,312,307,272,251,171,151,129,0,SHADOW,0,CHL,Estados_Unidos,6
"75,3",294,279,356,224,223,170,174,153,171,142,143,129,0,SHADOW,0,CHL,Estados_Unidos,6
"2,5",386,393,356,255,298,406,429,362,359,757,162,130,0,SHADOW,0,CHL,Estados_Unidos,2
"2,76",386,393,356,255,298,406,429,362,359,757,162,130,0,SHADOW,0,CHL,Estados_Unidos,2
"4,54",13,12,17,10,3,1,1,1,1,132,155,130,0,SHADOW,0,CHL,Estados_Unidos,3
5,184,285,365,233,222,161,169,125,124,96,117,130,0,SHADOW,0,CHL,Estados_Unidos,3
5,184,285,365,233,222,161,169,125,124,96,117,130,0,SHADOW,0,CHL,Estados_Unidos,3
15,290,398,477,367,396,371,369,338,346,278,196,130,0,SHADOW,0,CHL,Europa,5
"17,806",482,494,669,513,614,326,348,296,248,333,159,130,0,CIRRUS,0,CHL,Estados_Unidos,5
"19,9",246,266,327,216,247,237,255,238,245,494,185,130,0,SHADOW,0,CHL,Estados_Unidos,5
20,251,273,360,236,275,284,319,317,326,567,212,130,0,SHADOW,0,CHL,Estados_Unidos,5
26,235,339,511,378,488,262,272,224,222,127,142,130,0,SHADOW,0,CHL,Europa,5
"55,7",44,118,237,211,294,191,195,185,147,83,146,130,0,SHADOW,0,CHL,Europa,6
"174,84",34,57,187,115,230,158,184,139,191,485,195,130,0,SHADOW,0,CHL,Estados_Unidos,6
"1,26",606,675,743,499,484,422,413,363,351,394,183,131,0,CIRRUS,0,CHL,Campo_Geo,1
"2,05",582,687,850,524,479,372,372,324,318,319,180,131,0,CIRRUS,0,CHL,Campo_Geo,2
"2,79",223,268,231,187,191,150,162,150,131,115,144,131,0,SHADOW,0,CHL,Estados_Unidos,2
"2,92",223,268,231,187,191,150,162,150,131,115,144,131,0,SHADOW,0,CHL,Estados_Unidos,2
"3,82",328,417,528,270,238,179,188,173,152,146,152,131,0,CIRRUS,0,CHL,Campo_Geo,3
"3,91",425,340,347,204,185,131,138,128,138,321,173,131,0,SHADOW,0,CHL,ANA,3
"4,4",617,568,553,398,469,625,628,543,518,621,190,131,0,SHADOW,0,CHL,Estados_Unidos,3
5,505,598,827,810,681,286,304,235,211,161,151,131,0,CIRRUS,0,CHL,ANA,3
"24,14",108,147,253,197,294,167,183,130,155,74,150,131,0,SHADOW,0,CHL,Estados_Unidos,5
"1,32",439,370,369,272,303,373,378,355,353,327,161,132,0,SHADOW,0,CHL,Estados_Unidos,1
2,317,281,362,196,200,198,206,218,206,370,179,132,0,SHADOW,0,CHL,Estados_Unidos,2
"2,55",439,370,369,272,303,373,378,355,353,327,161,132,0,SHADOW,0,CHL,Estados_Unidos,2
46,659,283,283,198,190,154,158,131,134,524,160,132,0,SHADOW,0,CHL,Estados_Unidos,6
"1,7",223,299,247,185,208,291,317,380,291,309,161,133,0,SHADOW,0,CHL,Europa,2
"2,03",84,99,131,106,92,83,108,122,139,5,177,133,0,SHADOW,0,CHL,Europa,2
"4,39",84,99,131,106,92,83,108,122,139,5,177,133,0,SHADOW,0,CHL,Europa,3
"6,7",289,367,487,251,244,173,161,184,152,114,152,133,0,CIRRUS,0,CHL,Estados_Unidos,4
"8,1",289,367,487,251,244,173,161,184,152,114,152,133,0,CIRRUS,0,CHL,Estados_Unidos,4
"10,6",175,193,167,159,162,108,129,79,104,33,147,133,0,SHADOW,0,CHL,ANA,4
"41,7",511,500,632,458,626,585,591,510,518,473,209,133,0,SHADOW,0,CHL,Estados_Unidos,6
"41,7",511,500,632,458,626,585,591,510,518,473,209,133,0,SHADOW,0,CHL,Estados_Unidos,6
57,37,202,246,224,265,251,273,262,240,158,175,133,0,SHADOW,0,CHL,Europa,6
"0,1",90,186,402,209,178,6,11,5,1,55,121,134,0,CIRRUS,0,CHL,GemStat,1
"0,319",783,282,251,211,197,230,234,236,216,1142,201,134,0,SHADOW,0,CHL,Estados_Unidos,1
"1,07",133,260,302,188,177,178,203,314,208,331,176,134,0,SHADOW,0,CHL,PMQs,1
"1,07",133,260,302,188,177,178,203,314,208,331,176,134,0,SHADOW,0,CHL,PMQs,1
"2,8",246,337,318,214,211,213,199,165,174,113,147,134,0,SHADOW,0,CHL,Europa,2
"5,06",10,59,248,34,20,1,9,22,20,613,174,135,0,SHADOW,0,CHL,Estados_Unidos,4
"7,38",247,222,298,233,228,156,168,161,165,153,155,135,0,SHADOW,0,CHL,ANA,4
"27,6",355,394,542,394,418,248,275,264,214,171,150,135,0,SHADOW,0,CHL,Estados_Unidos,5
"2,76",497,625,824,822,749,401,407,359,297,198,163,136,0,CIRRUS,0,CHL,Estados_Unidos,2
16,540,791,1205,648,659,504,544,436,476,235,201,136,0,CIRRUS,0,CHL,Europa,5
"62,5",386,470,609,395,534,330,335,271,274,213,153,136,0,CIRRUS,0,CHL,Estados_Unidos,6
"1,07",350,464,419,244,220,176,194,255,163,250,193,137,0,SHADOW,0,CHL,PMQs,1
"1,07",350,464,419,244,220,176,194,255,163,250,193,137,0,SHADOW,0,CHL,PMQs,1
"1,07",350,464,419,244,220,176,194,255,163,250,193,137,0,SHADOW,0,CHL,PMQs,1
"5,68",384,491,652,321,278,199,199,172,182,137,154,137,0,CIRRUS,0,CHL,Campo_Geo,4
10,447,325,451,232,231,239,287,221,261,598,166,137,0,SHADOW,0,CHL,Estados_Unidos,4
"0,5",1025,1389,2130,1521,1171,448,432,334,279,307,171,138,0,CIRRUS,0,CHL,GemStat,1
"1,33",641,713,771,528,513,449,450,393,395,459,194,138,0,CIRRUS,0,CHL,Campo_Geo,1
"1,78",149,159,134,114,114,105,116,122,112,413,165,138,0,SHADOW,0,CHL,Estados_Unidos,2
"1,78",149,159,134,114,114,105,116,122,112,413,165,138,0,SHADOW,0,CHL,Estados_Unidos,2
"2,9",1,95,130,102,100,4,7,8,5,1,129,138,0,SHADOW,0,CHL,Europa,2
"6,23",308,370,542,304,301,188,183,186,170,131,154,138,0,CIRRUS,0,CHL,Estados_Unidos,4
8,469,390,441,263,242,198,206,188,176,297,150,138,0,SHADOW,0,CHL,Estados_Unidos,4
"8,01",308,370,542,304,301,188,183,186,170,131,154,138,0,CIRRUS,0,CHL,Estados_Unidos,4
"9,79",308,370,542,304,301,188,183,186,170,131,154,138,0,CIRRUS,0,CHL,Estados_Unidos,4
92,414,527,717,476,720,429,442,352,310,223,157,138,0,CIRRUS,0,CHL,Estados_Unidos,6
"10,2",157,226,281,202,213,109,121,123,108,85,164,139,0,SHADOW,0,CHL,Estados_Unidos,4
488,552,549,788,497,1088,759,774,625,462,552,169,139,0,SHADOW,0,CHL,Estados_Unidos,6
"1,07",342,451,591,348,288,195,187,186,159,138,179,140,0,CIRRUS,0,CHL,PMQs,1
"2,14",342,451,591,348,288,195,187,186,159,138,179,140,0,CIRRUS,0,CHL,PMQs,2
"13,77",423,435,528,380,515,495,540,489,449,563,196,140,0,SHADOW,0,CHL,Estados_Unidos,5
"25,7",2,1,2,1,8,4,4,1,10,282,154,140,0,SHADOW,0,CHL,Estados_Unidos,5
"68,66959",565,741,864,738,975,1022,1057,989,923,805,240,140,0,SHADOW,0,CHL,Estados_Unidos,6
"72,541509",565,741,864,738,975,1022,1057,989,923,805,240,140,0,SHADOW,0,CHL,Estados_Unidos,6
"1,07",321,361,535,270,237,140,144,134,119,136,161,141,0,CIRRUS,0,CHL,PMQs,1
"1,07",321,361,535,270,237,140,144,134,119,136,161,141,0,CIRRUS,0,CHL,PMQs,1
"1,07",321,361,535,270,237,140,144,134,119,136,161,141,0,CIRRUS,0,CHL,PMQs,1
"1,07",413,505,726,345,277,159,215,135,235,527,95,141,0,CIRRUS,0,CHL,PMQs,1
"3,49",517,487,451,317,360,498,526,443,442,633,192,141,0,SHADOW,0,CHL,Estados_Unidos,3
"4,81",186,244,426,244,312,193,222,182,173,214,175,141,0,SHADOW,0,CHL,Estados_Unidos,3
"7,61",248,217,229,205,218,173,167,164,160,125,182,141,0,SHADOW,0,CHL,ANA,4
"8,84",95,103,103,93,85,37,58,62,50,400,200,141,0,SHADOW,0,CHL,ANA,4
"9,1",1285,1183,1193,907,1070,1398,1426,1295,1244,1112,290,141,0,SHADOW,0,CHL,Estados_Unidos,4
"9,1",1285,1183,1193,907,1070,1398,1426,1295,1244,1112,290,141,0,SHADOW,0,CHL,Estados_Unidos,4
"13,23",517,487,451,317,360,498,526,443,442,633,192,141,0,SHADOW,0,CHL,Estados_Unidos,5
19,208,146,119,110,132,164,164,169,190,1403,203,141,0,SHADOW,0,CHL,Estados_Unidos,5
"0,68",351,513,879,497,716,681,678,608,581,301,212,142,0,SHADOW,0,CHL,Europa,1
"0,78",351,513,879,497,716,681,678,608,581,301,212,142,0,SHADOW,0,CHL,Europa,1
"6,11",226,180,280,167,180,186,210,198,220,1360,226,142,0,SHADOW,0,CHL,Estados_Unidos,4
"6,93",351,513,879,497,716,681,678,608,581,301,212,142,0,SHADOW,0,CHL,Europa,4
"8,57",208,144,262,166,235,209,223,189,201,1199,225,142,0,SHADOW,0,CHL,Estados_Unidos,4
"11,1",351,513,879,497,716,681,678,608,581,301,212,142,0,SHADOW,0,CHL,Europa,5
"12,6",142,150,261,184,331,377,420,391,385,253,241,142,0,SHADOW,0,CHL,Europa,5
"15,21",351,513,879,497,716,681,678,608,581,301,212,142,0,SHADOW,0,CHL,Europa,5
"20,83",351,513,879,497,716,681,678,608,581,301,212,142,0,SHADOW,0,CHL,Europa,5
"25,3",139,120,157,132,208,125,183,161,135,1315,209,142,0,SHADOW,0,CHL,Estados_Unidos,5
"47,4",378,480,599,384,465,324,319,276,262,262,162,142,0,CIRRUS,0,CHL,Estados_Unidos,6
"1,07",340,382,433,205,180,158,180,146,154,551,149,143,0,SHADOW,0,CHL,PMQs,1
"1,34",607,686,802,536,511,450,455,396,401,396,197,143,0,CIRRUS,0,CHL,Campo_Geo,1
"3,31",350,331,417,225,252,315,411,369,346,1467,227,143,0,SHADOW,0,CHL,Estados_Unidos,3
"8,8",332,295,304,268,282,283,286,256,257,214,165,143,0,SHADOW,0,CHL,Europa,4
9,607,625,788,523,509,336,334,297,285,269,169,143,0,CIRRUS,0,CHL,Estados_Unidos,4
"20,2",621,586,703,456,502,353,349,314,294,282,180,143,0,CIRRUS,0,CHL,Estados_Unidos,5
3,261,253,264,190,179,177,178,163,161,143,169,144,0,SHADOW,0,CHL,Europa,2
"19,3",819,977,1342,1248,1542,841,986,788,650,546,236,144,0,CIRRUS,0,CHL,Estados_Unidos,5
"1,44",608,723,863,578,531,456,447,389,375,349,197,145,0,CIRRUS,0,CHL,Campo_Geo,1
"5,3",267,319,365,272,598,975,1086,991,999,407,177,145,0,SHADOW,0,CHL,Estados_Unidos,4
"59,5",117,242,328,265,336,278,293,253,258,206,176,145,0,SHADOW,0,CHL,Europa,6
"2,98",377,383,506,309,312,270,269,226,253,262,164,146,0,SHADOW,0,CHL,Estados_Unidos,2
"5,13",200,216,208,181,184,196,201,184,192,366,169,146,0,SHADOW,0,CHL,Estados_Unidos,4
"5,77",309,346,339,252,259,301,318,286,271,249,169,146,0,SHADOW,0,CHL,Estados_Unidos,4
"6,4",309,346,339,252,259,301,318,286,271,249,169,146,0,SHADOW,0,CHL,Estados_Unidos,4
"7,48",38,61,98,130,106,10,14,13,18,5,141,146,0,SHADOW,0,CHL,Estados_Unidos,4
"9,61",38,61,98,130,106,10,14,13,18,5,141,146,0,SHADOW,0,CHL,Estados_Unidos,4
16,316,382,413,243,248,177,178,195,141,197,158,146,0,SHADOW,0,CHL,Estados_Unidos,5
125,223,268,493,302,566,202,217,178,146,177,165,146,0,CIRRUS,0,CHL,Estados_Unidos,6
"3,81",226,232,235,180,201,231,257,250,240,447,190,147,0,SHADOW,0,CHL,Europa,3
"16,6",963,996,1111,830,933,898,866,827,759,1056,236,147,0,SHADOW,0,CHL,Estados_Unidos,5
"18,8",963,996,1111,830,933,898,866,827,759,1056,236,147,0,SHADOW,0,CHL,Estados_Unidos,5
"19,1",963,996,1111,830,933,898,866,827,759,1056,236,147,0,SHADOW,0,CHL,Estados_Unidos,5
"19,3",963,996,1111,830,933,898,866,827,759,1056,236,147,0,SHADOW,0,CHL,Estados_Unidos,5
"19,5",963,996,1111,830,933,898,866,827,759,1056,236,147,0,SHADOW,0,CHL,Estados_Unidos,5
"19,9",963,996,1111,830,933,898,866,827,759,1056,236,147,0,SHADOW,0,CHL,Estados_Unidos,5
"20,4",963,996,1111,830,933,898,866,827,759,1056,236,147,0,SHADOW,0,CHL,Estados_Unidos,5
"20,7",323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,5
"22,6",323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,5
"27,1",323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,5
"28,9",323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,5
"28,9",323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,5
"30,8",323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,5
"31,6",323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,5
"34,4",323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,6
"36,2",323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,6
42,963,996,1111,830,933,898,866,827,759,1056,236,147,0,SHADOW,0,CHL,Estados_Unidos,6
54,323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,6
59,323,371,424,334,413,292,296,255,237,214,170,147,0,SHADOW,0,CHL,Estados_Unidos,6
10,240,275,410,187,207,190,191,188,215,385,175,148,0,SHADOW,0,CHL,Europa,4
"50,1",260,294,355,215,206,129,180,141,149,228,201,148,0,SHADOW,0,CHL,Estados_Unidos,6
"66,51",480,552,771,556,899,544,548,435,394,300,189,148,0,SHADOW,0,CHL,Estados_Unidos,6
"1,07",332,327,400,241,246,230,245,234,231,470,181,149,0,SHADOW,0,CHL,PMQs,1
"1,07",332,327,400,241,246,230,245,234,231,470,181,149,0,SHADOW,0,CHL,PMQs,1
"1,55",214,264,342,228,283,179,205,192,165,394,173,149,0,SHADOW,0,CHL,Estados_Unidos,2
"1,8",242,211,300,187,264,234,340,307,378,1435,263,149,0,SHADOW,0,CHL,Estados_Unidos,2
"2,3",474,586,804,703,764,467,467,395,368,223,169,149,0,CIRRUS,0,CHL,Estados_Unidos,2
"8,55",319,398,585,381,401,222,254,238,247,906,161,149,0,CLEAR,0,CHL,Estados_Unidos,4
"12,8",474,586,804,703,764,467,467,395,368,223,169,149,0,CIRRUS,0,CHL,Estados_Unidos,5
"13,05",474,615,810,554,524,315,335,276,270,264,148,149,0,CIRRUS,0,CHL,Estados_Unidos,5
"16,959999",165,212,285,230,251,176,180,165,170,122,192,149,0,SHADOW,0,CHL,ANA,5
"20,1",278,278,358,249,245,201,206,171,194,162,167,149,0,SHADOW,0,CHL,Estados_Unidos,5
"23,3",139,227,292,297,359,212,231,163,171,147,150,149,0,SHADOW,0,CHL,Estados_Unidos,5
"1,07",502,594,966,573,466,232,266,156,238,1158,160,150,0,CLEAR,0,CHL,PMQs,1
"1,3",8,59,50,48,147,491,547,637,619,233,269,150,0,SHADOW,0,CHL,Europa,1
"1,5",89,161,256,135,121,87,97,91,105,52,188,151,0,SHADOW,0,CHL,Estados_Unidos,1
"20,6",335,436,626,474,492,259,260,209,205,187,155,151,0,CIRRUS,0,CHL,Estados_Unidos,5
"0,88",171,282,341,180,152,106,112,131,97,47,158,152,0,SHADOW,0,CHL,Estados_Unidos,1
"1,07",417,589,886,532,428,261,271,241,229,186,187,152,0,CIRRUS,0,CHL,PMQs,1
"1,7849",385,486,655,330,282,198,209,176,186,156,160,152,0,CIRRUS,0,CHL,Campo_Limnologia,2
"8,7",1,1,30,43,46,71,100,132,160,34,173,152,0,SHADOW,0,CHL,Europa,4
14,303,264,253,227,244,271,270,232,251,193,163,152,0,SHADOW,0,CHL,Europa,5
"14,7",504,574,712,471,552,334,363,304,302,256,222,152,0,CIRRUS,0,CHL,Estados_Unidos,5
"45,1",623,651,855,782,1114,862,879,744,677,298,183,152,0,SHADOW,0,CHL,Estados_Unidos,6
"88,3",623,651,855,782,1114,862,879,744,677,298,183,152,0,SHADOW,0,CHL,Estados_Unidos,6
"1,9",255,299,285,235,231,178,191,193,175,131,164,153,0,SHADOW,0,CHL,Europa,2
"3,3",186,197,303,184,262,187,226,193,200,286,180,153,0,SHADOW,0,CHL,Estados_Unidos,3
"4,62",290,287,296,226,237,257,276,226,263,212,201,153,0,SHADOW,0,CHL,Estados_Unidos,3
"7,01",290,287,296,226,237,257,276,226,263,212,201,153,0,SHADOW,0,CHL,Estados_Unidos,4
"15,2",176,205,200,172,172,138,169,153,174,218,181,153,0,SHADOW,0,CHL,Estados_Unidos,5
"16,27",176,205,200,172,172,138,169,153,174,218,181,153,0,SHADOW,0,CHL,Estados_Unidos,5
"1,61",632,730,887,602,578,498,505,439,437,418,210,154,0,CIRRUS,0,CHL,Campo_Geo,2
"3,7",551,621,647,576,631,680,670,628,645,562,266,154,0,SHADOW,0,CHL,Europa,3
"5,2",875,1049,1229,1025,972,607,652,539,482,350,210,154,0,CIRRUS,0,CHL,Europa,4
"1,07",804,900,1350,1233,981,317,305,328,165,229,170,155,0,CIRRUS,0,CHL,PMQs,1
"2,14",804,900,1350,1233,981,317,305,328,165,229,170,155,0,CIRRUS,0,CHL,PMQs,2
"2,14",804,900,1350,1233,981,317,305,328,165,229,170,155,0,CIRRUS,0,CHL,PMQs,2
"3,92",156,102,100,114,109,58,43,48,68,1299,246,155,0,SHADOW,0,CHL,Estados_Unidos,3
"4,7",506,620,1114,722,797,370,354,305,236,146,168,155,0,CIRRUS,0,CHL,GemStat,3
"29,309999",257,296,475,306,338,190,196,189,175,105,182,155,0,CIRRUS,0,CHL,ANA,5
"36,1",224,258,284,211,235,181,193,161,177,758,212,155,0,SHADOW,0,CHL,Estados_Unidos,6
"1,07",278,338,509,312,312,257,255,240,232,426,203,156,0,SHADOW,0,CHL,PMQs,1
"2,14",278,338,509,312,312,257,255,240,232,426,203,156,0,SHADOW,0,CHL,PMQs,2
"3,41",515,559,568,383,515,680,705,662,633,600,237,156,0,SHADOW,0,CHL,Estados_Unidos,3
"4,27",278,338,509,312,312,257,255,240,232,426,203,156,0,SHADOW,0,CHL,PMQs,3
"5,85",479,393,412,286,306,364,359,398,336,574,283,156,0,SHADOW,0,CHL,Estados_Unidos,4
"6,84",479,393,412,286,306,364,359,398,336,574,283,156,0,SHADOW,0,CHL,Estados_Unidos,4
"1,63",679,758,879,616,582,494,496,431,431,469,217,157,0,CIRRUS,0,CHL,Campo_Geo,2
"2,14",274,321,482,279,309,247,257,244,255,466,197,157,0,SHADOW,0,CHL,PMQs,2
"2,9",329,239,302,189,199,192,209,144,215,270,139,157,0,SHADOW,0,CHL,Estados_Unidos,2
"3,2",274,321,482,279,309,247,257,244,255,466,197,157,0,SHADOW,0,CHL,PMQs,3
"3,4",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,3
"3,5",329,239,302,189,199,192,209,144,215,270,139,157,0,SHADOW,0,CHL,Estados_Unidos,3
"3,9",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,3
"3,9",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,3
4,66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,3
"4,3",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,3
"4,3",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,3
"4,4",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,3
"4,5",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,3
"4,6",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,3
"4,9",252,621,1116,588,1574,2122,2172,2019,1918,1369,405,157,0,,0,CHL,Estados_Unidos,3
"6,3",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,4
"10,1",270,446,885,640,610,217,219,183,158,68,166,157,0,CIRRUS,0,CHL,Estados_Unidos,4
"14,5",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,5
"22,6",583,600,762,503,525,347,344,316,296,275,186,157,0,CIRRUS,0,CHL,Estados_Unidos,5
"23,3",66,98,229,181,138,35,45,35,44,32,163,157,0,SHADOW,0,CHL,Estados_Unidos,5
"31,41",297,262,400,340,412,234,248,207,232,618,237,157,0,SHADOW,0,CHL,ANA,5
698,252,621,1116,588,1574,2122,2172,2019,1918,1369,405,157,0,,0,CHL,Estados_Unidos,6
"0,6",405,368,269,214,208,203,208,179,191,233,170,158,0,SHADOW,0,CHL,Canada,1
"0,7",405,368,269,214,208,203,208,179,191,233,170,158,0,SHADOW,0,CHL,Canada,1
"1,5",320,383,492,286,311,233,255,228,237,375,189,158,0,SHADOW,0,CHL,Europa,1
"3,39",257,308,423,291,325,229,262,184,252,955,173,158,0,SHADOW,0,CHL,Estados_Unidos,3
"4,2",214,282,441,196,172,132,141,162,138,173,171,158,0,CIRRUS,0,CHL,Estados_Unidos,3
"4,2",214,282,441,196,172,132,141,162,138,173,171,158,0,CIRRUS,0,CHL,Estados_Unidos,3
10,136,141,156,145,170,199,204,197,187,261,233,158,0,SHADOW,0,CHL,Europa,4
"11,2",947,986,1073,835,909,910,881,838,772,1116,252,158,0,SHADOW,0,CHL,Estados_Unidos,5
"11,45",408,488,609,517,512,316,320,308,249,200,195,158,0,CIRRUS,0,CHL,Estados_Unidos,5
"11,5",947,986,1073,835,909,910,881,838,772,1116,252,158,0,SHADOW,0,CHL,Estados_Unidos,5
"11,8",947,986,1073,835,909,910,881,838,772,1116,252,158,0,SHADOW,0,CHL,Estados_Unidos,5
