Unnamed: 0,Sample_Date,Image_Date,Time_Sample,Image_Hour,Station_Sample,Parameter,Value,Unit,Depth,Depth_Unit,Local_Name,Location_Type,Lat,Lon,Country,Organization_Data,Hemisphere,Season,Source_Domain,Diff_Date,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,MSK_CLDPRB,MSK_SNOW,QA60,CLDYPXPER,DRK_FEA_PE,NDWI,NBSI,Water_Check,Snow_Check,Scene_Class,geometry
3383,10/07/2019,08/07/2019,11:07:00,13:02:51,RO30S,Chlorophyll,1.07,ug/l,0.2,m,Rosal,Reservoir,-208.367,-417.369,Brazil,CEMIG,South,Winter,CEMIG,2,288,310,562,427,1010,2645,3114,3260,3458,3590,2189,1032,0,0,0,32.255,0.8867,-0.705913134,-2.453.836.355.871.880,Drought,No_Snow,Vegetation,POINT (-41.73688888888889 -20.836694444444444)
3380,10/07/2019,08/07/2019,11:07:00,13:02:51,RO110S,Chlorophyll,1.07,ug/l,0.2,m,Rosal,Reservoir,-209.559,-417.174,Brazil,CEMIG,South,Winter,CEMIG,2,5262,4005,4155,4223,4747,5106,5262,4874,5414,8319,3653,2442,100,0,1024,32.255,0.8867,-0.079632296,-14.398.525.487.364.600,Drought,No_Snow,Clouds High,POINT (-41.717416666666665 -20.955944444444444)
3377,10/07/2019,11/07/2019,08:07:00,13:12:51,CJ40S,Chlorophyll,1.07,ug/l,0.2,m,Cajuru,Reservoir,-202.378,-447.539,Brazil,CEMIG,South,Winter,CEMIG,1,437,389,568,423,511,458,428,397,406,1172,467,302,0,0,0,0.0304,0.6105,0.177202073,-12.132.812.957.746.400,Humidity,No_Snow,Dark Area,POINT (-44.75385555555555 -20.23783611111111)
4277,08/02/2019,06/02/2019,02:02:00,13:12:49,VIR06S,Chlorophyll,1.07,ug/l,0.2,m,IrapÃ,Reservoir,-165.904,-428.963,Brazil,CEMIG,South,Summer,CEMIG,2,11624,11128,10134,9556,9800,9308,9250,8730,8993,15836,6171,5081,100,0,1024,996.698,0,0.074427481,-1.193.447.140.319.710,Humidity,No_Snow,Clouds High,POINT (-42.896277777777776 -16.590444444444444)
798,25/11/2020,25/11/2020,03:11:00,13:22:31,EM190S,Chlorophyll,1.07,ug/l,0.2,m,EmborcaÃƒÂ�,Reservoir,-184.511,-479.909,Brazil,CEMIG,South,Spring,CEMIG,0,2933,3159,3390,3408,3869,4503,4770,4120,4906,4880,3882,3524,100,0,0,688.639,0.3797,-0.097203728,-1.966.538.430.678.460,Drought,No_Snow,Bare Soils,POINT (-47.990944444444445 -18.451138888888888)
3412,09/07/2019,08/07/2019,10:07:00,13:02:51,JO030S,Chlorophyll,1.07,ug/l,0,m,Josal,Reservoir,-21.805,-433.089,Brazil,CEMIG,South,Winter,CEMIG,1,57,97,263,157,603,2488,3113,3225,3436,2647,1315,479,0,0,0,105.304,0.8703,-0.849197248,-21.903.940.684.410.600,Drought,No_Snow,Vegetation,POINT (-43.30886111111111 -21.804972222222226)
4282,07/02/2019,08/02/2019,12:02:00,13:02:41,VIR50S,Chlorophyll,1.07,ug/l,0,m,IrapÃ,Reservoir,-167.289,-426.505,Brazil,CEMIG,South,Summer,CEMIG,1,873,551,685,599,797,968,874,300,998,740,841,839,0,0,1024,818.659,0.1817,0.390862944,-20.562.730.802.919.700,Water_Surface,No_Snow,Water,POINT (-42.650527777777775 -16.728861111111108)
740,21/12/2020,19/12/2020,04:12:00,13:02:51,MM020S,Chlorophyll,1.07,ug/l,0.2,m,Machado Mineiro,Reservoir,-155.225,-415.158,Brazil,CEMIG,South,Summer,CEMIG,2,3147,3454,3449,3280,3627,4026,4155,4093,4218,4698,3590,3294,100,0,0,622.449,0.0472,-0.085388491,-1.925.917.133.082.050,Drought,No_Snow,Clouds High,POINT (-41.51580555555555 -15.5225)
734,21/12/2020,19/12/2020,09:12:00,13:02:51,PT002S,Chlorophyll,1.07,ug/l,0.2,m,Peti,Reservoir,-198.967,-433.519,Brazil,CEMIG,South,Summer,CEMIG,2,391,443,896,751,1539,3103,3412,3408,3705,3347,3019,1720,0,0,0,170.308,0.4796,-0.583643123,-25.339.825,Drought,No_Snow,Vegetation,POINT (-43.35191666666667 -19.896666666666665)
731,21/12/2020,19/12/2020,04:12:00,13:02:51,MM030S,Chlorophyll,1.07,ug/l,0.2,m,Machado Mineiro,Reservoir,-155.064,-417.047,Brazil,CEMIG,South,Summer,CEMIG,2,6891,6353,6000,5697,6105,6230,6234,6346,6256,9368,5431,4627,100,0,1024,622.449,0.0472,-0.028025271,-1.723.552,Drought,No_Snow,Clouds High,POINT (-41.70472222222222 -15.506388888888887)
