Unnamed: 0,Sample_Date,Image_Date,Time_Sample,Image_Hour,Station_Sample,Parameter,Value,Unit,Depth,Depth_Unit,Local_Name,Location_Type,Lat,Lon,Country,Organization_Data,Hemisphere,Season,Source_Domain,Diff_Date,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,MSK_CLDPRB,MSK_SNOW,QA60,CLDYPXPER,DRK_FEA_PE,NDWI,NBSI,Water_Check,Snow_Check,Scene_Class,geometry
893,04/02/2021,05/02/2021,11:01:00 AM,13:12:39,TM-04,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-189.598,-451.114,Brazil,PMQS,South,Summer,Tres_Marias,1,4115,4314,3909,3481,3886,3892,3859,4286,3817,15905,2045,2023,100,0,1024,809.286,0.312,-0.046003661,-14.052.947.239.703.200,Drought,No_Snow,Clouds High,POINT (-45.1114127841537 -18.9598350202507)
3391,07/04/2019,07/04/2019,9:59:00 AM,13:12:49,TM-04,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-189.598,-451.114,Brazil,PMQS,South,Autumn,Tres_Marias,0,9485,9910,9726,9480,10093,9812,9875,9462,9719,11967,7301,6019,100,0,1024,906.173,0.2486,0.013758599,-13.358.270.359.860.100,Humidity,No_Snow,Clouds High,POINT (-45.1114127841537 -18.9598350202507)
2980,03/09/2021,03/09/2021,8:33:00 AM,13:10:39,TM-03,Chlorophyll,3.2,ug/l,0.3,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.222,-449.970,Brazil,PMQS,South,Winter,Tres_Marias,0,168,298,470,179,126,27,41,25,15,,29,32,0,0,0,0.0098,0.3538,0.898989899,-0.68076366,Water_Surface,No_Snow,Water,POINT (-44.996991301014 -18.8222319488451)
424,04/03/2021,02/03/2021,8:42:00 AM,13:12:41,TM-07,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-185.891,-452.371,Brazil,PMQS,South,Summer,Tres_Marias,2,7695,7245,6681,6136,6607,6247,5956,6316,5735,15932,2237,2573,100,0,1024,917.253,0.1074,0.028083404,-10.044.524.879.509.000,Humidity,No_Snow,Clouds High,POINT (-45.2370580443239 -18.5890568919514)
2663,03/05/2019,02/05/2019,12:00:00 PM,13:12:51,PT-23,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Autumn,Tres_Marias,1,218,220,354,123,107,71,56,43,54,3,25,20,0,0,0,86.898,12.261,0.783375315,-0.661746102,Water_Surface,No_Snow,Water,POINT (-45.2838151891992 -18.4982955791819)
2050,29/05/2019,27/05/2019,7:39:00 AM,13:12:49,TM-02,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.338,-449.706,Brazil,PMQS,South,Autumn,Tres_Marias,2,119,188,221,125,118,67,84,57,60,37,36,22,0,0,0,0.3742,0.7154,0.589928058,-0.939318244,Water_Surface,No_Snow,Water,POINT (-44.9706133404865 -18.833834259933)
5570,10/08/2019,10/08/2019,10:36:00 AM,13:12:51,TM-07,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-185.891,-452.371,Brazil,PMQS,South,Winter,Tres_Marias,0,177,170,256,94,78,41,56,44,39,17,25,9,0,0,0,16.984,0.9713,0.706666667,-0.68753475,Water_Surface,No_Snow,Water,POINT (-45.2370580443239 -18.5890568919514)
1736,11/12/2020,12/12/2020,5:31:00 PM,13:12:41,PT-23,Chlorophyll,3.2,ug/l,0.2,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Spring,Tres_Marias,1,513,546,689,315,298,242,281,292,271,822,233,213,0,0,0,619.789,0.6026,0.404689093,-10.782.405.166.908.500,Water_Surface,No_Snow,Water,POINT (-45.2838151891992 -18.4982955791819)
2969,03/09/2021,03/09/2021,12:16:00 PM,13:10:39,TM-06,Chlorophyll,3.2,ug/l,0.3,m,Reservatorio de TrÃƒÂªs,Reservoir,-187.199,-451.947,Brazil,PMQS,South,Winter,Tres_Marias,0,184,321,454,148,103,42,56,39,27,4,36,23,0,0,0,0.0098,0.3538,0.84178499,-0.738233251,Water_Surface,No_Snow,Water,POINT (-45.1947167565019 -18.7198668631499)
4184,01/02/2019,01/02/2019,5:35:00 PM,13:12:41,PT-22,Chlorophyll,3.23,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Summer,Tres_Marias,0,682,678,911,686,710,737,774,705,772,1528,576,465,0,0,2048,313.149,0.4608,0.127475248,-12.293.932.030.735.400,Humidity,No_Snow,Cirrus,POINT (-44.9334354668998 -18.8539700203216)
3683,19/03/2019,18/03/2019,8:15:00 AM,13:12:39,PT-22,Chlorophyll,3.32,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Summer,Tres_Marias,1,376,462,642,373,332,242,287,215,254,677,217,196,0,0,0,288.447,17.044,0.498249708,-10.023.421.183.800.600,Water_Surface,No_Snow,Water,POINT (-44.9334354668998 -18.8539700203216)
2895,24/04/2019,22/04/2019,12:00:00 PM,13:12:51,PT-23,Chlorophyll,3.32,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Autumn,Tres_Marias,2,237,241,386,143,122,84,99,57,68,73,33,42,0,0,0,160.389,12.565,0.742663657,-0.715364622,Water_Surface,No_Snow,Water,POINT (-45.2838151891992 -18.4982955791819)
3964,22/02/2019,21/02/2019,4:50:00 PM,13:12:41,PT-22,Chlorophyll,3.34,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Summer,Tres_Marias,1,6776,6185,5705,5299,5653,5347,5189,5168,5133,15918,1933,1940,100,0,1024,996.572,0,0.049388393,-10.352.973.076.248.900,Humidity,No_Snow,Clouds High,POINT (-44.9334354668998 -18.8539700203216)
2807,28/04/2019,27/04/2019,12:00:00 PM,13:12:49,PT-23,Chlorophyll,3.42,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Autumn,Tres_Marias,1,168,237,354,119,91,56,51,43,43,,24,21,0,0,0,31.913,11.132,0.783375315,-0.712637559,Water_Surface,No_Snow,Water,POINT (-45.2838151891992 -18.4982955791819)
3661,20/03/2019,18/03/2019,8:13:00 AM,13:12:39,PT-22,Chlorophyll,3.42,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Summer,Tres_Marias,2,376,462,642,373,332,242,287,215,254,677,217,196,0,0,0,288.447,17.044,0.498249708,-10.023.421.183.800.600,Water_Surface,No_Snow,Water,POINT (-44.9334354668998 -18.8539700203216)
2834,27/04/2019,27/04/2019,12:00:00 PM,13:12:49,PT-23,Chlorophyll,3.51,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Autumn,Tres_Marias,0,168,237,354,119,91,56,51,43,43,,24,21,0,0,0,31.913,11.132,0.783375315,-0.712637559,Water_Surface,No_Snow,Water,POINT (-45.2838151891992 -18.4982955791819)
1649,17/12/2020,17/12/2020,9:08:00 AM,13:12:39,PT-22,Chlorophyll,3.56,ug/l,0.3,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Spring,Tres_Marias,0,1071,1339,1769,1584,1510,1054,1089,1171,1018,2707,779,659,23,0,2048,922.874,0.0246,0.203401361,-10.444.876.676.088.100,Water_Surface,No_Snow,Clouds Medim,POINT (-44.9334354668998 -18.8539700203216)
3897,27/02/2019,26/02/2019,1:50:00 PM,13:12:39,PT-23,Chlorophyll,3.59,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Summer,Tres_Marias,1,353,435,547,363,413,446,473,418,440,1579,335,289,0,0,2048,808.489,0.4538,0.133678756,-13.092.751.809.872.000,Humidity,No_Snow,Cirrus,POINT (-45.2838151891992 -18.4982955791819)
3113,17/04/2019,17/04/2019,1:00:00 PM,13:12:49,PT-23,Chlorophyll,3.59,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Autumn,Tres_Marias,0,10216,9606,8710,7917,8629,7874,7452,7691,7010,16010,3288,3510,100,0,1024,947.948,0.2123,0.062130358,-0.959207339,Humidity,No_Snow,Clouds High,POINT (-45.2838151891992 -18.4982955791819)
2973,21/04/2019,22/04/2019,8:55:00 AM,13:12:51,PT-22,Chlorophyll,3.65,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Autumn,Tres_Marias,1,200,226,406,177,134,46,57,55,47,47,52,40,0,0,0,160.389,12.565,0.761388286,-0.637404414,Water_Surface,No_Snow,Water,POINT (-44.9334354668998 -18.8539700203216)
3913,26/02/2019,26/02/2019,1:20:00 PM,13:12:39,PT-23,Chlorophyll,3.73,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Summer,Tres_Marias,0,353,435,547,363,413,446,473,418,440,1579,335,289,0,0,2048,808.489,0.4538,0.133678756,-13.092.751.809.872.000,Humidity,No_Snow,Cirrus,POINT (-45.2838151891992 -18.4982955791819)
2943,22/04/2019,22/04/2019,1:40:00 PM,13:12:51,PT-23,Chlorophyll,3.74,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Autumn,Tres_Marias,0,237,241,386,143,122,84,99,57,68,73,33,42,0,0,0,160.389,12.565,0.742663657,-0.715364622,Water_Surface,No_Snow,Water,POINT (-45.2838151891992 -18.4982955791819)
3930,25/02/2019,26/02/2019,6:08:00 PM,13:12:39,PT-22,Chlorophyll,3.78,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Summer,Tres_Marias,1,1462,2084,2090,1640,1783,1752,1762,2253,1717,6506,1188,959,26,0,2048,808.489,0.4538,-0.03753166,-13.593.928.612.440.100,Drought,No_Snow,Clouds Medim,POINT (-44.9334354668998 -18.8539700203216)
3975,21/02/2019,21/02/2019,8:37:00 AM,13:12:41,PT-23,Chlorophyll,3.78,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Summer,Tres_Marias,0,5953,5243,4916,4586,4959,4756,4672,4474,4694,15922,1761,1941,100,0,1024,996.572,0,0.047071353,-11.343.146.916.192.000,Humidity,No_Snow,Clouds High,POINT (-45.2838151891992 -18.4982955791819)
3948,23/02/2019,21/02/2019,6:20:00 PM,13:12:41,PT-22,Chlorophyll,3.81,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Summer,Tres_Marias,2,6776,6185,5705,5299,5653,5347,5189,5168,5133,15918,1933,1940,100,0,1024,996.572,0,0.049388393,-10.352.973.076.248.900,Humidity,No_Snow,Clouds High,POINT (-44.9334354668998 -18.8539700203216)
1784,09/12/2020,07/12/2020,10:28:00 AM,13:12:39,TM-03,Chlorophyll,3.84,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.222,-449.970,Brazil,PMQS,South,Spring,Tres_Marias,2,12015,11204,10506,9734,10502,9894,9640,9762,9441,15896,5266,3754,100,0,1024,896.623,0.0902,0.036708111,-0.870285853,Humidity,No_Snow,Clouds High,POINT (-44.996991301014 -18.8222319488451)
3586,28/03/2019,28/03/2019,8:40:00 AM,13:12:49,PT-22,Chlorophyll,3.84,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Autumn,Tres_Marias,0,6730,6280,5906,5501,6001,5905,5841,5878,5707,15901,2763,2818,100,0,1024,999.814,0,0.002376103,-11.945.073.213.681.000,Humidity,No_Snow,Clouds High,POINT (-44.9334354668998 -18.8539700203216)
2904,24/04/2019,22/04/2019,8:50:00 AM,13:12:51,PT-22,Chlorophyll,3.88,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Autumn,Tres_Marias,2,200,226,406,177,134,46,57,55,47,47,52,40,0,0,0,160.389,12.565,0.761388286,-0.637404414,Water_Surface,No_Snow,Water,POINT (-44.9334354668998 -18.8539700203216)
4248,27/01/2019,27/01/2019,11:40:00 AM,13:12:49,PT-22,Chlorophyll,3.89,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Summer,Tres_Marias,0,1400,1451,1561,1472,1566,1570,1628,1575,1640,3284,1395,1230,20,0,2048,760.212,0.2546,-0.004464286,-16.911.007.892.376.600,Drought,No_Snow,Cirrus,POINT (-44.9334354668998 -18.8539700203216)
3594,27/03/2019,28/03/2019,11:55:00 AM,13:12:49,PT-23,Chlorophyll,4.05,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Autumn,Tres_Marias,1,8647,8102,7569,7015,7535,7186,7018,7072,6736,15901,4107,3785,100,0,1024,999.814,0,0.033945769,-12.015.688.725.062.700,Humidity,No_Snow,Clouds High,POINT (-45.2838151891992 -18.4982955791819)
