BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,VALUE,CLASSE
0.0587,0.0679,0.0804,0.0516,0.0482,0.0388,0.0383,0.0334,0.0315,0.032,0.015000000000000001,0.0106,3.23,0
0.0591,0.0699,0.08120000000000001,0.0511,0.0499,0.0413,0.0414,0.0363,0.035300000000000005,0.035300000000000005,0.0161,0.0105,2.76,0
0.0591,0.0678,0.08070000000000001,0.0531,0.050100000000000006,0.0438,0.0439,0.0381,0.0374,0.0367,0.0201,0.015600000000000001,2.91,0
0.061500000000000006,0.0717,0.08660000000000001,0.055,0.0514,0.043300000000000005,0.044700000000000004,0.0376,0.0396,0.0359,0.0222,0.0171,2.63,0
0.0582,0.06860000000000001,0.08,0.0516,0.048,0.0392,0.038400000000000004,0.0339,0.0339,0.0325,0.0149,0.0106,3.23,0
0.0558,0.0651,0.07680000000000001,0.0475,0.0441,0.0362,0.036000000000000004,0.0316,0.0303,0.029500000000000002,0.015600000000000001,0.0111,2.46,0
0.0579,0.0683,0.0801,0.0504,0.0477,0.0396,0.0395,0.0342,0.0323,0.0328,0.013800000000000002,0.0099,2.52,0
0.0582,0.0682,0.0828,0.053500000000000006,0.049300000000000004,0.0376,0.0383,0.033600000000000005,0.031900000000000005,0.0339,0.014,0.0106,3.41,0
0.0574,0.06430000000000001,0.0785,0.049300000000000004,0.046900000000000004,0.0373,0.037000000000000005,0.0327,0.029500000000000002,0.0313,0.014400000000000001,0.009300000000000001,3.08,0
0.0567,0.068,0.0805,0.0499,0.046900000000000004,0.0376,0.036500000000000005,0.0323,0.0292,0.0315,0.013800000000000002,0.0092,2.73,0
0.0582,0.0684,0.0844,0.051300000000000005,0.0473,0.0369,0.037000000000000005,0.032100000000000004,0.0315,0.030600000000000002,0.0167,0.013000000000000001,2.73,0
0.06330000000000001,0.0714,0.08360000000000001,0.0546,0.051500000000000004,0.0419,0.0427,0.036500000000000005,0.0362,0.0363,0.016900000000000002,0.011600000000000001,3.1,0
0.060700000000000004,0.07060000000000001,0.0806,0.0543,0.0521,0.0458,0.0477,0.0405,0.0405,0.0396,0.020300000000000002,0.0149,2.29,0
